time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,CCI,Smoothing Line,Histogram,MACD,Signal,OnBalanceVolume,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,True Strength Index,Signal
1998-12-22T09:30:00-05:00,23.21899,23.28101,23.21899,23.28101,600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-23T09:30:00-05:00,23.45312,23.75,23.45312,23.6875,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-24T09:30:00-05:00,23.90625,24.01562,23.82812,24,1400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-28T09:30:00-05:00,24,24.14062,24,24.125,7400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-29T09:30:00-05:00,24.25,24.46875,24.25,24.46875,1400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-30T09:30:00-05:00,24.45312,24.45312,24.29687,24.35937,2800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8300,6460,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-31T09:30:00-05:00,24.35937,24.5625,24.3125,24.5625,33100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41400,14560,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-04T09:30:00-05:00,24.59375,24.84375,24.21875,24.21875,6400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35000,21100,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-05T09:30:00-05:00,24.46875,24.76562,24.35937,24.71875,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37000,26560,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-06T09:30:00-05:00,24.95312,25.32812,24.95312,25.25,13500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50500,34440,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-07T09:30:00-05:00,25.0625,25.125,24.84375,25.03125,13100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37400,40260,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-08T09:30:00-05:00,24.96875,25.25,24.82812,25.21875,11000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48400,41660,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-11T09:30:00-05:00,25.15625,25.15625,24.875,24.98437,2200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46200,43900,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-12T09:30:00-05:00,24.85937,24.92187,24.60937,24.6875,6500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39700,44440,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-13T09:30:00-05:00,24.03125,24.35937,24,24.0625,1700,NaN,58.805025069010206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38000,41940,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-14T09:30:00-05:00,24,24.21875,23.95312,23.95312,4100,NaN,57.284488704970954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33900,41240,NaN,NaN,NaN,NaN,NaN,NaN
