time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,CCI,Smoothing Line,Histogram,MACD,Signal,OnBalanceVolume,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,True Strength Index,Signal
1998-12-22T09:30:00-05:00,25.875,26.53101,25.875,26.5,150300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-23T09:30:00-05:00,26.79687,27.14062,26.6875,27.14062,44000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-24T09:30:00-05:00,27.14062,27.14062,27,27.09375,45500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-28T09:30:00-05:00,27.14062,27.15625,26.8125,26.9375,25400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-29T09:30:00-05:00,26.95312,27.5625,25.98437,27.53125,123500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-30T09:30:00-05:00,27.53125,27.60937,27.3125,27.35937,10200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86400,39720,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-31T09:30:00-05:00,27.29687,27.42187,27.07812,27.15625,66300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20100,34940,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-04T09:30:00-05:00,27.375,27.59375,26.73437,26.9375,50000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29900,29260,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-05T09:30:00-05:00,27.09375,27.28125,27.01562,27.14062,27900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2000,34240,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-06T09:30:00-05:00,27.32812,27.48437,27.15625,27.46875,118500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116500,38220,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-07T09:30:00-05:00,27.26562,27.26562,26.95312,27.15625,43500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73000,35540,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-08T09:30:00-05:00,27.15625,27.17187,26.625,27.04687,63800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9200,33360,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-11T09:30:00-05:00,26.98437,26.98437,26.32812,26.5,65400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-56200,28100,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-12T09:30:00-05:00,26.48437,26.57812,26.25,26.29687,29400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-85600,11380,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-13T09:30:00-05:00,25.54687,26.48437,25.54687,26.34375,73800,NaN,47.93388429752066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11800,-14280,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-14T09:30:00-05:00,26.23437,26.32812,25.48437,25.84375,30800,NaN,41.9588202559822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42600,-37400,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-15T09:30:00-05:00,26.0625,26.21875,25.82812,26.125,39000,NaN,46.03383084577115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3600,-39960,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-19T09:30:00-05:00,26.32812,26.32812,25.65625,25.82812,39200,NaN,42.63135725157263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-42800,-37280,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-20T09:30:00-05:00,25.98437,26.1875,25.78125,25.90625,480500,NaN,43.80844877871254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,437700,67380,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-21T09:30:00-05:00,25.79687,25.9375,25.35937,25.51562,42500,78475,39.45015207566303,NaN,NaN,NaN,-138.0642642073786,NaN,NaN,NaN,NaN,395200,148780,69.04379409094084,NaN,NaN,NaN,NaN,NaN
1999-01-22T09:30:00-05:00,25.35937,25.67187,25.21875,25.39062,75700,74745,38.142485538873004,NaN,NaN,NaN,-142.08265982528775,NaN,NaN,NaN,NaN,319500,221200,75.67046006376285,NaN,NaN,NaN,NaN,NaN
1999-01-25T09:30:00-05:00,25.39062,25.48437,25.10937,25.32812,179000,81495,37.47363536715675,NaN,NaN,NaN,-133.44685961910258,NaN,NaN,NaN,NaN,140500,250020,77.71493330469133,NaN,NaN,NaN,NaN,NaN
1999-01-26T09:30:00-05:00,25.34375,25.92187,25.29687,25.92187,85000,83470,46.98470430193964,NaN,NaN,NaN,-80.02235476782491,NaN,NaN,NaN,NaN,225500,303680,80.9284141559131,NaN,NaN,NaN,NaN,NaN
1999-01-27T09:30:00-05:00,26.17187,26.42187,26.09375,26.26562,50400,84720,51.57711363693457,NaN,NaN,NaN,-18.61371090470636,-102.44596986486003,NaN,NaN,NaN,275900,271320,73.99850922598905,NaN,NaN,NaN,NaN,NaN
1999-01-28T09:30:00-05:00,26.29687,26.79687,26.26562,26.73437,57300,81410,57.04183900895313,NaN,NaN,NaN,21.677592848983103,-70.4975984535877,NaN,NaN,NaN,333200,258920,71.47290364782252,NaN,NaN,NaN,NaN,NaN
1999-01-29T09:30:00-05:00,26.8125,26.98437,26.4375,26.79687,167800,89290,57.726862664467795,NaN,NaN,NaN,44.50791619047649,-33.17948325043485,NaN,-0.3095921025359516,NaN,501000,295220,74.2442245126382,NaN,NaN,NaN,NaN,NaN
1999-02-01T09:30:00-05:00,26.98437,27.07812,26.67187,26.6875,57200,88835,56.042708354727395,NaN,NaN,NaN,58.02833366303982,5.115555405993635,NaN,-0.2508882200068605,NaN,443800,355880,78.07697228376706,NaN,NaN,NaN,NaN,NaN
1999-02-02T09:30:00-05:00,26.78125,26.90625,26.53125,26.90625,81800,90425,58.64167891083647,47.531965806365065,NaN,NaN,57.70119079756421,32.66026451907146,NaN,-0.1845858821848445,NaN,525600,415900,81.07746868473939,NaN,NaN,NaN,NaN,NaN
1999-02-03T09:30:00-05:00,26.78125,26.90625,26.54687,26.8125,65300,92295,57.083948366094596,48.18554181126321,NaN,NaN,59.11033024508554,48.20507274902983,NaN,-0.13801469577517622,NaN,460300,452780,82.64891257888601,NaN,NaN,NaN,NaN,NaN
1999-02-04T09:30:00-05:00,26.70312,26.90625,26.5625,26.6875,34400,88090,54.98662021334106,49.116098951074555,NaN,NaN,62.73436553696832,56.41642728662688,NaN,-0.10992599194110397,NaN,425900,471320,83.39544782224057,NaN,NaN,NaN,NaN,NaN
1999-02-05T09:30:00-05:00,26.6875,26.6875,26.25,26.28125,33000,87565,48.721350851769984,49.308064665788756,NaN,NaN,24.437078881671763,52.40225982486593,NaN,-0.11907386224841332,NaN,392900,449700,79.12038358708566,NaN,NaN,NaN,NaN,NaN
1999-02-08T09:30:00-05:00,26.21875,26.375,26.01562,26.23437,83500,88550,48.04109153317263,49.69447425733161,NaN,NaN,-0.9315687577002593,40.610279340717916,NaN,-0.1286237451131349,NaN,309400,422820,74.03859354564071,NaN,NaN,NaN,NaN,NaN
1999-02-09T09:30:00-05:00,26.17187,26.17187,25.71875,25.76562,44500,87505,41.76227631460139,49.54831908132367,NaN,NaN,-50.27987612639216,19.01406595592664,NaN,-0.1720332118007306,NaN,264900,370680,65.27999017572031,76.19364340570269,NaN,NaN,NaN,NaN
