time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,CCI,Smoothing Line,Histogram,MACD,Signal,OnBalanceVolume,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,True Strength Index,Signal
1998-12-22T09:30:00-05:00,25.313,25.46899,25.313,25.46899,3700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-23T09:30:00-05:00,25.5,25.75,25.46875,25.57812,12000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-24T09:30:00-05:00,25.9375,26.04687,25.8125,26.04687,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-28T09:30:00-05:00,25.92187,25.9375,25.8125,25.8125,8600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-29T09:30:00-05:00,25.89062,26.375,25.89062,26.375,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-30T09:30:00-05:00,26.35937,26.40625,26.15625,26.15625,31700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25600,2220,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-31T09:30:00-05:00,26.15625,26.25,26.125,26.125,32400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-58000,-11780,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-04T09:30:00-05:00,26.15625,26.53125,25.90625,25.96875,5200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-63200,-27140,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-05T09:30:00-05:00,26.125,26.40625,26.125,26.40625,1300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-61900,-40520,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-06T09:30:00-05:00,26.71875,27.15625,26.71875,27.15625,8100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-53800,-52500,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-07T09:30:00-05:00,27.03125,27.3125,27,27.125,13700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67500,-60880,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-08T09:30:00-05:00,27.28125,27.40625,27.10937,27.15625,18600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48900,-59060,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-11T09:30:00-05:00,27.25,27.28125,26.79687,27.01562,63100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-112000,-68820,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-12T09:30:00-05:00,26.60937,26.6875,26.28125,26.3125,3300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115300,-79500,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-13T09:30:00-05:00,25.6875,26.4375,25.6875,26.4375,3400,NaN,62.10713169573098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-111900,-91120,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-14T09:30:00-05:00,26.1875,26.3125,25.71875,25.84375,36600,NaN,53.54682739380774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-148500,-107320,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-15T09:30:00-05:00,26.1875,26.20312,26.04687,26.17187,34800,NaN,57.06841440112514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-113700,-120280,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-19T09:30:00-05:00,26.46875,26.57812,26.15625,26.15625,4100,NaN,56.8474780103927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-117800,-121440,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-20T09:30:00-05:00,26.53125,26.84375,26.42187,26.59375,3500,NaN,61.35972969554687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-114300,-121240,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-21T09:30:00-05:00,26.53125,26.5625,26.28125,26.34375,31500,15915,57.65007372908416,NaN,NaN,NaN,14.425999364016022,NaN,NaN,NaN,NaN,-145800,-128020,1.504319332737552,NaN,NaN,NaN,NaN,NaN
1999-01-22T09:30:00-05:00,25.9375,26.54687,25.875,26.46875,12300,16345,58.985268901759625,NaN,NaN,NaN,-12.893909217244696,NaN,NaN,NaN,NaN,-133500,-125020,3.818442191940207,NaN,NaN,NaN,NaN,NaN
1999-01-25T09:30:00-05:00,26.34375,26.46875,26.21875,26.40625,8100,16150,58.00062441912193,NaN,NaN,NaN,-7.598740454755623,NaN,NaN,NaN,NaN,-141600,-130600,3.6468170796860306,NaN,NaN,NaN,NaN,NaN
1999-01-26T09:30:00-05:00,26.5625,27.03125,26.48437,27.03125,3700,16255,64.40041180029323,NaN,NaN,NaN,83.96691421776605,NaN,NaN,NaN,NaN,-137900,-134620,3.5239321324286834,NaN,NaN,NaN,NaN,NaN
1999-01-27T09:30:00-05:00,27.0625,27.125,27,27,1900,15920,63.876308122891864,NaN,NaN,NaN,105.59109371128022,36.698271524212394,NaN,NaN,NaN,-139800,-139720,3.368838589551274,NaN,NaN,NaN,NaN,NaN
1999-01-28T09:30:00-05:00,27.0625,27.28125,27.0625,27.28125,4300,16080,66.51735163985143,NaN,NaN,NaN,117.85099369884637,57.38327039117846,NaN,NaN,NaN,-135500,-137660,5.1840585990248655,NaN,NaN,NaN,NaN,NaN
1999-01-29T09:30:00-05:00,27.375,27.5625,27.1875,27.46875,6800,14835,68.18720625813894,NaN,NaN,NaN,131.30417602906587,86.22288744044059,NaN,0.3219777653199998,NaN,-128700,-136700,6.069596098299641,NaN,NaN,NaN,NaN,NaN
1999-02-01T09:30:00-05:00,27.59375,27.60937,27.4375,27.53125,6100,13520,68.74672902966354,NaN,NaN,NaN,130.35191370915823,113.81301827322334,NaN,0.35806280339700436,NaN,-122600,-132900,9.66604319174128,NaN,NaN,NaN,NaN,NaN
1999-02-02T09:30:00-05:00,27.3125,27.3125,26.9375,27.1875,20900,14305,62.26072109494053,61.39673401373919,NaN,NaN,64.64536930269755,109.94870929020965,NaN,0.3548324166664827,NaN,-143500,-134020,9.549981439505856,NaN,NaN,NaN,NaN,NaN
1999-02-03T09:30:00-05:00,27.125,27.65625,27.09375,27.625,23100,15395,66.58212006958749,61.716376040443215,NaN,NaN,101.9227574295492,109.21504203386344,NaN,0.38315809752813834,NaN,-120400,-130140,13.428054231727359,NaN,NaN,NaN,NaN,NaN
1999-02-04T09:30:00-05:00,27.79687,27.82812,27.4375,27.46875,19500,15965,63.77347103248891,62.4468505860633,NaN,NaN,109.43031968931321,107.5309072319568,NaN,0.3885197210234175,NaN,-139900,-131020,13.288888729503256,NaN,NaN,NaN,NaN,NaN
1999-02-05T09:30:00-05:00,27.1875,27.35937,26.78125,26.78125,5800,15570,53.14971366347132,62.1669433905166,NaN,NaN,24.42119010362876,86.15431004686938,NaN,0.33344954318041786,NaN,-145700,-134420,12.739533869817095,NaN,NaN,NaN,NaN,NaN
1999-02-08T09:30:00-05:00,27.01562,27.21875,26.67187,27.21875,8200,15050,57.9502676921472,62.24571408207049,NaN,NaN,35.5601102324934,67.19594935153643,NaN,0.32140368255493,NaN,-137500,-137400,12.261106516874833,NaN,NaN,NaN,NaN,NaN
1999-02-09T09:30:00-05:00,26.875,26.90625,26.375,26.375,9400,12365,47.781674181198035,61.275852973902715,NaN,NaN,-32.8114520774891,47.7045850754991,NaN,0.24099563012692826,NaN,-146900,-138080,12.148987346535876,7.871328524955272,NaN,NaN,NaN,NaN
1999-02-10T09:30:00-05:00,26.34375,26.53125,26.21875,26.375,9200,12660,47.78167418119802,60.57096729191085,NaN,NaN,-58.366808831481606,15.646671823292937,-0.14448753615008336,0.17525147930582108,0.31973901545590444,-146900,-143380,11.282972421177178,8.569803745558103,NaN,NaN,NaN,NaN
1999-02-11T09:30:00-05:00,26.53125,27.26562,26.45312,27.23437,12200,13100,56.746852397352065,60.41108039873888,NaN,NaN,27.008950258199054,-0.837602062929897,-0.10355193750816277,0.19029909357070096,0.29385103107886373,-134700,-142340,12.5995340643385,9.197024593586551,NaN,NaN,NaN,NaN
1999-02-12T09:30:00-05:00,26.875,26.90625,26.57812,26.75,5800,11560,51.39126598240538,59.93898336754484,NaN,NaN,-18.11649867569421,-9.34513981879449,-0.10605627924058303,0.16128068202813495,0.267336961268718,-140500,-141300,13.974357179851197,9.934706029312634,NaN,NaN,NaN,NaN
1999-02-16T09:30:00-05:00,26.98437,27.25,26.96875,27.09375,9300,10285,54.66152614915081,59.24334867817753,NaN,NaN,38.338851157962765,-8.78939163370062,-0.08256624482225144,0.16412915524090366,0.2466954000631551,-131200,-140040,15.704411790831685,10.804740290627135,NaN,NaN,NaN,NaN
1999-02-17T09:30:00-05:00,27.15625,27.54687,27,27,14700,10815,53.60235745058684,58.50949505872717,NaN,NaN,47.93084883078116,7.359068547953433,-0.07174686819387702,0.15701181482080884,0.22875868301468585,-145900,-139840,15.99320729216528,11.706480912242423,NaN,NaN,9.383357333180436,NaN
1999-02-18T09:30:00-05:00,27,27.03125,26.76562,27.03125,3500,10815,53.92286061527377,57.609888556971626,NaN,NaN,-3.3114009620069886,18.370150121848358,-0.06129565039512114,0.15213912002078445,0.21343477041590558,-142400,-138940,17.36518120785884,12.576561098587705,NaN,NaN,8.746621405184483,NaN
1999-02-19T09:30:00-05:00,27.0625,27.17187,26.98437,27.17187,900,9285,55.41532430742324,56.69761127477765,NaN,NaN,26.864688293989627,18.34129772900647,-0.04450361444735687,0.1578052523567095,0.20230886680406637,-141500,-140300,16.91560827900409,13.35127625435231,NaN,NaN,8.687310848712002,NaN
