,original,predict,last_x,direction,diff,,,,
0,210.11,208.18176,209.66,FALSE,-0.705%,1.92824,0.92%,,
1,210.13,208.04173,209.41,FALSE,-0.653%,2.08827,1.00%,0.322%,
2,209.98,208.1647,209.48,FALSE,-0.628%,1.8153,0.87%,,
3,211.239,209.20702,210.94,FALSE,-0.822%,2.03198,0.96%,4118,
4,211.209,210.05334,211.12,FALSE,-0.505%,1.15566,0.55%,2531,61.46%
5,211.81,210.17047,211.66,FALSE,-0.704%,1.63953,0.77%,1587,38.54%
6,211.63,210.75374,211.52,FALSE,-0.362%,0.87626,0.41%,,
7,211.38,210.68755,211.26,FALSE,-0.271%,0.69245,0.33%,,
8,210.66,210.74162,210.78,TRUE,0.000%,-0.08162,-0.04%,,
9,211.99,210.17194,211.47,FALSE,-0.614%,1.81806,0.86%,,
10,211.12,209.93408,210.4,FALSE,-0.221%,1.18592,0.56%,,
11,210.2301,209.57753,210.62,TRUE,0.000%,0.65257,0.31%,,
12,210.46,209.61984,209.42,TRUE,0.000%,0.84016,0.40%,,
13,207.5,208.00754,207.74,FALSE,-0.129%,-0.50754,-0.24%,,
14,208.36,206.88826,206.71,TRUE,0.000%,1.47174,0.71%,,
15,204.98,206.26909,205.29,FALSE,-0.477%,-1.28909,-0.63%,,
16,204.5,205.13261,205.26,TRUE,0.000%,-0.63261,-0.31%,,
17,207.1,205.3116,206.77,FALSE,-0.705%,1.7884,0.86%,,
18,205.8272,206.18391,206.71,TRUE,0.000%,-0.35671,-0.17%,,
19,208.58,205.89923,207.69,FALSE,-0.862%,2.68077,1.29%,,
20,207.96,206.45549,207.39,FALSE,-0.451%,1.50451,0.73%,,
21,210.46,208.34758,209.96,FALSE,-0.768%,2.11242,1.01%,,
22,209.5,209.43721,209.71,TRUE,0.000%,0.06279,0.03%,,
23,210.41,209.3552,210.42,TRUE,0.000%,1.0548,0.50%,,
24,210,209.10019,209.85,FALSE,-0.357%,0.89981,0.43%,,
25,208.82,208.28665,209.07,TRUE,0.000%,0.53335,0.26%,,
26,205.76,205.85756,204.96,TRUE,0.000%,-0.09756,-0.05%,,
27,205.27,205.04898,205.13,FALSE,-0.039%,0.22102,0.11%,,
28,205.74,205.82156,206.98,TRUE,0.000%,-0.08156,-0.04%,,
29,208.25,205.93102,207.26,FALSE,-0.641%,2.31898,1.12%,,
30,206.43,206.39124,206.39,TRUE,0.000%,0.03876,0.02%,,
31,205.7,205.83978,205.62,TRUE,0.000%,-0.13978,-0.07%,,
32,206.435,205.72571,205.37,TRUE,0.000%,0.70929,0.35%,,
33,207.83,207.22649,207.855,TRUE,0.000%,0.60351,0.29%,,
34,207.28,207.35713,207.55,TRUE,0.000%,-0.07713,-0.04%,,
35,207.975,207.25105,207.78,FALSE,-0.255%,0.72395,0.35%,,
36,208.9,208.04916,209.2,TRUE,0.000%,0.85084,0.41%,,
37,210.04,208.77538,209.87,FALSE,-0.522%,1.26462,0.60%,,
38,209.09,209.111,208.85,TRUE,0.000%,-0.021,-0.01%,,
39,209.49,209.21265,210.05,TRUE,0.000%,0.27735,0.13%,,
40,210.43,209.32169,210.03,FALSE,-0.337%,1.10831,0.53%,,
41,210.37,209.1532,208.94,TRUE,0.000%,1.2168,0.58%,,
42,207.95,208.59235,209.06,TRUE,0.000%,-0.64235,-0.31%,,
43,209.85,208.92816,210.67,TRUE,0.000%,0.92184,0.44%,,
44,209.6,208.68068,210.01,TRUE,0.000%,0.91932,0.44%,,
45,210.63,208.5459,210.15,FALSE,-0.763%,2.0841,0.99%,,
46,211.16,209.68509,211.66,TRUE,0.000%,1.47491,0.70%,,
47,211.6499,210.31801,212.33,TRUE,0.000%,1.33189,0.63%,,
48,210.77,210.31554,210.74,FALSE,-0.201%,0.45446,0.22%,,
49,211.44,209.62605,210.37,FALSE,-0.354%,1.81395,0.86%,,
50,210.57,210.30092,209.88,TRUE,0.000%,0.26908,0.13%,,
51,208.46,209.23863,209.4,TRUE,0.000%,-0.77863,-0.37%,,
52,210.72,209.52832,211.23,TRUE,0.000%,1.19168,0.56%,,
53,211.32,210.38281,211.03,FALSE,-0.307%,0.93719,0.44%,,
